id,text,positive,toxic,neutral
,halar jonno amr jibon shesh,0,1,0
,Tui hoili rastar magi,0,1,0
,Kire magi,0,1,0
,Kanke mager sahosh beshi,0,1,0
,Amr rod e boshbi?,0,1,0
,Biri tan de ,0,1,0
,Shukhtan de ,0,1,0
,Ganjar stick bana,0,1,0
,Ganja khawa jabe na,0,1,0
,Bokachoda kn tui?,0,1,0
,Chudir vy,0,1,0
,Ganjakhor tui,0,1,0
,Taka myra dise bokasoday,0,1,0
,Shalay fokinni ekta,0,1,0
,Fokinnigiri koros?,0,1,0
,Chi tr pant chera,0,1,0
,Tui okorma chili r thakbi,0,1,0
,Tore diya amr kono kam hoibo na,0,1,0
,Bou petano jamai ,0,1,0
,Kajer beti jorina,0,1,0
,Kamlachoda tui,0,1,0
,Baal chal kajkam,0,1,0
,Bal chal kajkam,0,1,0
,balsal polapan,0,1,0
,baalsaal jibon,0,1,0
,Kire vodai kam koros na kn,0,1,0
,Vadaimma polapan,0,1,0
,Tui to dekhi bolod,0,1,0
,Fokinnir baccha tui,0,1,0
,Balvadaimma manushjon,0,1,0
,Dhila hala,0,1,0
,Kaj kam kor hala,0,1,0
,halar jonno amr jibon shesh,0,1,0
,Tui hoili rastar magi,0,1,0
,Kire magi,0,1,0
,Kanke mager sahosh beshi,0,1,0
,Amr rod e boshbi?,0,1,0
,Biri tan de ,0,1,0
,Shukhtan de ,0,1,0
,Ganjar stick bana,0,1,0
,Ganja khawa jabe na,0,1,0
,Bokachoda kn tui?,0,1,0
,Chudir vy,0,1,0
,Ganjakhor tui,0,1,0
,Taka myra dise bokasoday,0,1,0
,Shalay fokinni ekta,0,1,0
,Fokinnigiri koros?,0,1,0
,Chi tr pant chera,0,1,0
,Tui okorma chili r thakbi,0,1,0
,Tore diya amr kono kam hoibo na,0,1,0
,Bou petano jamai ,0,1,0
,Kajer beti jorina,0,1,0
,Kamlachoda tui,0,1,0
,kmn acho?,0,0,1
,kaman acho?,0,0,1
,Kemon acho?,0,0,1
,kemn aco?,0,0,1
,kemn acho?,0,0,1
,Kemon aco?,0,0,1
,kmn aco?,0,0,1
,kaman aco?,0,0,1
,kemn aso?,0,0,1
,kmn aso?,0,0,1
,kaman aso?,0,0,1
,kemon aso?,0,0,1
,kemn aso?,0,0,1
,Ki khbr?,0,0,1
,ke khbr?,0,0,1
,ki khobor?,0,0,1
,ke khobor?,0,0,1
,ki kbr?,0,0,1
,ke kbr?,0,0,1
,Amr aj mon valo nei,0,0,1
,Amr aj mon valo ny,0,0,1
,Amar aj mon valo nei,0,0,1
,Amar aj mon valo ny,0,0,1
,Amr onk koshto,0,0,1
,Amr onek koshto,0,0,1
,Amr onk kosto,0,0,1
,Amr onk koshto,0,0,1
,Amar onk koshto,0,0,1
,Amar onek kosto,0,0,1
,Kheye eshecho?,0,0,1
,Keye eshecho?,0,0,1
,Kheye esecho?,0,0,1
,Keye esecho?,0,0,1
,Naki giye khaba?,0,0,1
,Naki giye kaba?,0,0,1
,Nki giye khaba?,0,0,1
,Nki giye kaba?,0,0,1
,Nki giya khaba?,0,0,1
,Nki giya kaba?,0,0,1
,Naki giya khaba?,0,0,1
,Naki giya kaba?,0,0,1
,Ami tomake valobashi,0,0,1
,Ami tomake valobasi,0,0,1
,Ami tmk  valobashi,0,0,1
,Ami tmk  valobasi,0,0,1
,Ame tmk valobashi,0,0,1
,Ame tmk valobasi,0,0,1
,Ami onk valo,0,0,1
,Ami onek valo,0,0,1
,Ame onk valo,0,0,1
,Ame onek valo,0,0,1
,Shby shbyke help korte hobe,0,0,1
,Shobai Shobaike help korte hobe,0,0,1
,Tui ki amr sathe chade jabi,0,0,1
,Tui ke amr sathe chade jabi,0,0,1
,Tui ki amar sate cade jabi,0,0,1
,Fail korechish exam e?,0,0,1
,Fail korecis exam e?,0,0,1
,Amr r kicchu valo lage na,0,0,1
,Amar r kicchu valo lage na,0,0,1
,Amr r kissu valo lage na,0,0,1
,Amr r kissu valo lage na,0,0,1
,Amr sathe chol jamuna te,0,0,1
,Amr sathe chol jomuna te,0,0,1
,Tmi ki amr homework kore diba?,0,0,1
,Tme ke  amr homework kore diba?,0,0,1
,Tme ke amar homework kore diba?,0,0,1
,"Ay ay chad mama, tip diye ja",0,0,1
,"Aaay Aaay chad mama, tip diye ja",0,0,1
,Ma-baba shb theke beshi valobashe ,0,0,1
,Ma-baba shob theke beshi valobashe ,0,0,1
,Cholo jy khete,0,0,1
,Cholo jy khyte,0,0,1
,Cholo jai khete,0,0,1
,Cholo jai khyte,0,0,1
,Colo jy khyte,0,0,1
,Colo jy kyte,0,0,1
,Colo jy khete,0,0,1
,Prithibi te beche achi etai onek,0,0,1
,Prithibi te bece aci etai onek,0,0,1
,Pritibi te bece aci ety onk,0,0,1
,Ei dhoroni te r kisu pawar ny,0,0,1
,Ei dhoroni te r kisu power ny,0,0,1
,Ai dhoroni ta r kisu power nai,0,0,1
,Ami r parchi na ,0,0,1
,Ami r parsi na,0,0,1
,Data collect kora onk jhamela,0,0,1
,Data clct kora onek jamela,0,0,1
,"Banglish boli r english, ekta hoilei hoilo",0,0,1
,"Banglish koi r english, ekta koilei hoilo",0,0,1
,Gramer chachato vy Kuddus,0,0,1
,Graamer chachato vy Kuddus,0,0,1
,Gramer chachto vy kuddus,0,0,1
,Gramer chachto vai Kuddus,0,0,1
,Bokkor vy pass korse,0,0,1
,Mishti bilau ghore ghore,0,0,1
,Mishti dau ghore ghore,0,0,1
,Amr project shesh hoyny,0,0,1
,Amr project sesh hoini,0,0,1
,Ami ki r data collect korbo?,0,0,1
,Ami ki r data clct korbo,0,0,1
,Eshb bujhi na,0,0,1
,Eshb buji na,0,0,1
,Eshob bujhi na,0,0,1
,Eshob buji na,0,0,1
,Mobile hariye felsi,0,0,1
,Mobile haraya felsi,0,0,1
,Mobile hariye felci,0,0,1
,Mobile hariye felsi,0,0,1
,Amr prochur ghum pacche,0,0,1
,Amar prochur ghum passe,0,0,1
,Ghumabo ami,0,0,1
,Cholo jy ghumate,0,0,1
,Cholo jy ghumyte,0,0,1
,Mansuh olpo pele khushi hoyna,0,0,1
,Manus olpo pele kushi hoyna,0,0,1
,Ja chyba ta e pyba,0,0,1
,Ja chaiba ta e paba,0,0,1
,Ami tmr jonne ki ki korbo,0,0,1
,Ami tmr jonne ke ke korbo,0,0,1
,Ami tomar jonne ki ki korbo,0,0,1
,"Valo achi, valo theko",0,0,1
,"Valo asi, valo teko",0,0,1
,"Oronne boshobash, goru khay ghash",0,0,1
,"Ami khy murgi, amr bou kha hash",0,0,1
,Eshb ki boltesos?,0,0,1
,Eshob ki boltesos?,0,0,1
,Ashb ke boltesis?,0,0,1
,Shovab kharap ovabe,0,0,1
,Shovb khrp ovabe,0,0,1
,Saan korbi naki fresh hobi,0,0,1
,Amdr barite 4/5ta goru ase,0,0,1
,Amader barite 4/5ta goru ache,0,0,1
,Taratari kor kaj ta,0,0,1
,Vai bon shby mile ghurtesi,0,0,1
,Vy boin sby mila ghurtci,0,0,1
,Ami tomare kamre dite cai sona mona,0,1,0
,Kanke mage hegab koi ,0,1,0
,Amr rod e bosh,0,1,0
,Toke rode boshiye bell bajabo,0,1,0
,Tke rod e bosiye bell bajabo,0,1,0
,Tmr pompom gulo boro,0,1,0
,Tmr hegab koi bessha,0,1,0
,Arektu hole kodu gulo dekha jeto,0,1,0
,Olper jonne tmr jhola tormuj dekhte partam,0,1,0
,Tmk ami kola dekhabo,0,1,0
,Jaba naki roomdatee,0,1,0
,Tmr kodu gulo dau,0,1,0
,Ufff jdi ekbar khyte partam,0,1,0
,Ufff jodi akbar khyte partam,0,1,0
,"Hijab for Allah, short pants for Abdullah",0,1,0
,Kha kha amay chushe chushe kha,0,1,0
,Jabi naki choy noy korte,0,1,0
,Jabe nake choy noy korta,0,1,0
,Tr to morre jawa uchit,0,1,0
,Tui kukurerbaccha shala,0,1,0
,Baal er course,0,1,0
,Baler classe ghum ashe,0,1,0
,Baal chera gelo,0,1,0
,Tui amr baal chirbi,0,1,0
,Ay chutir por ,0,1,0
,Kopamu tore,0,1,0
,Jolbe aagun ghore ghore,0,1,0
,Jaliye mere felbo,0,1,0
,Kire vodai,0,1,0
,Kire chodna,0,1,0
,Kire natkir puut,0,1,0
,Aho vatija bell bajai,0,1,0
,Vodai shalay ki gaan shune,0,1,0
,Ajk jabo pot korte,0,1,0
,Birir putkite chumu dite chy,0,1,0
,Biri dhora nyle ganja,0,1,0
,Ganja chara cholei na,0,1,0
,Ganjakhor shala tui,0,1,0
,Ganjutti hala,0,1,0
,Vodai sode hudai,0,1,0
,Sodnami korbi na,0,1,0
,Chodnami korbi na,0,1,0
,Arektu dekhte chy tmr pompom,0,1,0
,Jibon manei sodon,0,1,0
,tore khaiya laisi re khaiyalaisi,0,1,0
,jibonta putki mara hoye gelo,0,1,0
,hoga maira tel bai koira felbo tomar,0,1,0
,"amare tel dite aiso na, chude dibo",0,1,0
,bessha magi tomare kahisi,0,1,0
,tomar dadir putki soi,0,1,0
,ami tomare chude dite cai,0,1,0
,pat khete jai colo,0,1,0
,pat khete jabi amar sathe,0,1,0
,"oi tui amre cinos na, ami ketha",0,1,0
,putki maira tomar lal suta ber kore felbo manik,0,1,0
,mara khaite khaite feta feta hoiya gesi,0,1,0
,bessha magi tui,0,1,0
,tui to kala,0,1,0
,oi kala manik khobor ki tor,0,1,0
,tore soyabin tel diya hoga marmu,0,1,0
,tumi amar sonar bal,0,1,0
,tui amr vodar bal,0,1,0
,goya mara sara hoye gese re ,0,1,0
,tomake halka kore cude dise r ki,0,1,0
,jaio na jaio na konna pragnent kore dibe,0,1,0
,prothome vabsilam molom bikreta pore dekhlam sujoinna,0,1,0
,ijjot tula tula koira dise halar putera,0,1,0
,"ijjot  maira halaise, madarchod e ra",0,1,0
,"tomader juta diya songbordhona dibo, desh e aso khali",0,1,0
,ekta akhoya bash diya dilo ekkebare,0,1,0
,ha ha ha ekke bare voira dise,0,1,0
,hate ekkebare der gat lomba leura dhorai dise,0,1,0
,amr ta cushe dao ektu,0,1,0
,taile ami tomar pusy cuse dibo,0,1,0
,"ami jony sins hote cai, amr ta or tar moto boro hbe",0,1,0
,"cudir vai, cuida kos cudi nai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"madarchod, tore aj khaiyalaisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"chudna, tumi ar valo hoila na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tumi ekta characterless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tor mathay somossa, halar po hala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"halar vai, tor ma re chudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"sala, tor coritre somossa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"shalar sala magibaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tor nanir putki soi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tore ar tor mayre eksathe lagamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"sundori tomare dekhle amar nunu kharay jay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"amar nunur khoj khobor o ektu loiyo, se tomake lagate cay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"ami tomake lagate cai, plz ek rater jonno lagate diba? Sudhu ek rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Baishe sraban Part 9 new story lekha hoye geche . Thik dupor 2 .00 pm . Baishe sraban again niye aschi . Sunben toh Didi Bhai Jaya ahsan . Ekdom thriller golpo Baishe sraban abar new story lekha hoye geche sudho golpo paath o music daooo ta baki ache . Mone hoy dupor 2 .00 pm hoye Jaye jabe . Sunben toh baishe sraban abar ??? Na sunle thik ache bye suggested for you dekhale apni Jaya di Tai comment korlam b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1",0,1,0
,"So hot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Apne je hindhu. Age jana cilo na fast janlam ga,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"nengta beti jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tomar golapi beral ta ami chusbo, chuse chuse khabo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Really apni onek sundor r din din aro besi sundori lagse apu ,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,0,0
,"She had said Ill things about kolkata its culture and food..dnt let her come here anymore…,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,0,0
,"Bedi ki Hindu na Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"khankir pola, tor mayre bap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"khankir nati tor mayre bap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"khankir beti tomar pusy borabor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tomare condom chara lagabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"sona r agay khati sorisar tel lagaiya tomare lagaite cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"shahin notir polare dhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"shahin notir polare chuida de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Ahare boin koyekta like coment follower pawar jnno Hindu sajcic,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,0,0
